domain,posts,resolved_rate,ticker_rate,distinct_authors,person_bylined,brand_bylined,passes_screen
41investments.substack.com,20,0.0,0.25,0,False,True,False
9to5mac.com,100,1.0,0.0,13,False,True,False
abundanceandgrowth.org,20,1.0,0.25,6,False,True,True
adamtaggart.substack.com,20,0.0,0.05,0,False,True,False
aeon.co,20,0.55,0.0,11,False,True,False
allisonschrager.substack.com,20,0.0,0.0,0,True,False,False
alluvial.substack.com,20,1.0,0.0,1,True,True,False
alpha-sense.com,98,0.0,0.0,0,False,False,False
alphaarchitect.com,5,1.0,0.0,2,False,True,False
alphainacademia.com,20,0.0,0.1,0,True,True,False
apricitas.io,20,1.0,0.05,1,True,True,False
artofmanliness.com,10,1.0,0.0,4,False,True,False
asiancenturystocks.com,15,1.0,0.133,1,True,True,False
asiandividendstocks.substack.com,20,1.0,0.05,1,True,True,False
asianometry.com,20,1.0,0.0,1,True,True,False
asianometry.substack.com,20,1.0,0.0,1,True,True,False
asymco.com,10,0.4,0.0,1,False,True,False
awealthofcommonsense.com,10,1.0,0.0,1,True,True,False
basehitinvesting.substack.com,20,1.0,0.4,1,True,True,True
becomingnoble.substack.com,20,1.0,0.0,2,True,True,False
behaviouralinvestment.com,10,1.0,0.0,1,True,True,False
behindthebalancesheet.substack.com,20,0.95,0.0,1,True,True,False
benzinga.com,10,0.8,0.5,4,False,True,True
bestanchorstocks.substack.com,20,0.0,0.25,0,False,True,False
bestinterest.blog,10,1.0,0.0,1,True,True,False
bigtechnology.com,20,1.0,0.0,2,True,True,False
blairbellecurve.com,20,1.0,0.05,1,True,False,False
blockworks.co,50,0.8,0.0,8,False,True,False
bonddad.blogspot.com,25,1.0,0.0,1,False,True,False
calculatedrisk.substack.com,20,0.0,0.3,0,True,True,False
capitalspectator.com,10,1.0,0.6,1,True,True,True
chicago.suntimes.com,55,0.982,0.036,33,False,True,False
chinatalk.media,20,1.0,0.15,7,False,True,True
citriniresearch.com,20,0.05,0.25,1,False,True,False
cleantechnica.com,45,1.0,0.022,12,False,True,False
cloudedjudgement.substack.com,20,1.0,0.0,1,True,True,False
coldeye.earth,20,1.0,0.25,1,True,True,True
compoundandfire.substack.com,20,1.0,0.45,1,True,True,True
compoundingquality.net,20,0.1,0.3,1,True,True,False
construction-physics.com,20,1.0,0.1,1,True,True,False
constructionphysics.substack.com,20,1.0,0.1,1,True,True,False
covestreetcapital.com,10,0.9,0.0,1,False,True,False
crr.bc.edu,12,1.0,0.333,5,False,True,True
danieldrezner.substack.com,20,1.0,0.0,1,True,False,False
dannykatch.substack.com,20,0.0,0.0,0,True,False,False
deepquarry.substack.com,20,1.0,0.2,1,False,True,True
derekthompson.org,20,0.05,0.0,1,True,False,False
digitalnative.substack.com,20,1.0,0.25,1,True,True,True
direports.substack.com,20,0.6,0.0,1,False,True,False
dirtybubblemedia.com,20,0.0,0.4,0,False,False,False

