domain,items,author_rate,date_rate,resolved_rate,ticker_rate,distinct_authors,passes,error
41investments.substack.com,20,0.75,1.0,0.0,0.25,0,False,
9to5mac.com,100,1.0,1.0,1.0,0.0,13,False,
abundanceandgrowth.org,20,1.0,1.0,1.0,0.25,6,True,
adamtaggart.substack.com,20,1.0,1.0,0.0,0.05,0,False,
aeon.co,20,1.0,1.0,0.55,0.0,11,False,
allisonschrager.substack.com,20,1.0,1.0,0.0,0.0,0,False,
alluvial.substack.com,20,1.0,1.0,1.0,0.0,1,False,
alpha-sense.com,98,0.0,1.0,0.0,0.0,0,False,
alphaarchitect.com,5,1.0,1.0,1.0,0.0,2,False,
alphainacademia.com,20,0.95,1.0,0.0,0.1,0,False,
apricitas.io,20,1.0,1.0,1.0,0.05,1,False,
artofmanliness.com,10,1.0,1.0,1.0,0.0,4,False,
asiancenturystocks.com,15,1.0,1.0,1.0,0.133,1,False,
asiandividendstocks.substack.com,20,1.0,1.0,1.0,0.05,1,False,
asianometry.com,20,1.0,1.0,1.0,0.0,1,False,
asianometry.substack.com,20,1.0,1.0,1.0,0.0,1,False,
asymco.com,10,1.0,1.0,0.4,0.0,1,False,
awealthofcommonsense.com,10,1.0,1.0,1.0,0.0,1,False,
basehitinvesting.substack.com,20,1.0,1.0,1.0,0.4,1,True,
becomingnoble.substack.com,20,1.0,1.0,1.0,0.0,2,False,
behaviouralinvestment.com,10,1.0,1.0,1.0,0.0,1,False,
behindthebalancesheet.substack.com,20,0.95,1.0,0.95,0.0,1,False,
benzinga.com,10,1.0,1.0,0.8,0.5,4,True,
bestanchorstocks.substack.com,20,1.0,1.0,0.0,0.25,0,False,
bestinterest.blog,10,1.0,1.0,1.0,0.0,1,False,
bigtechnology.com,20,1.0,1.0,1.0,0.0,2,False,
blairbellecurve.com,20,1.0,1.0,1.0,0.05,1,False,
blockworks.co,50,1.0,1.0,0.8,0.0,8,False,
bonddad.blogspot.com,25,1.0,1.0,1.0,0.0,1,False,
calculatedrisk.substack.com,20,1.0,1.0,0.0,0.3,0,False,
capitalspectator.com,10,1.0,1.0,1.0,0.6,1,True,
chicago.suntimes.com,55,1.0,1.0,0.982,0.036,33,False,
