ticker,event_date,beta,resid_sd,n_estimation,car_-5_-1,scar_-5_-1,car_0_0,scar_0_0,car_0_1,scar_0_1,car_0_5,scar_0_5,car_1_5,scar_1_5,slug
APLD,2023-07-06,2.196,0.1011,219,0.1174,0.52,-0.1365,-1.351,-0.0561,-0.393,-0.1914,-0.773,-0.0548,-0.243,/p/problems-at-applied-digital-apld
HSY,2023-07-20,0.29,0.0106,219,0.0058,0.246,0.0133,1.253,0.0165,1.106,-0.0411,-1.587,-0.0543,-2.299,/p/problems-at-hershey-hsy
XP,2023-08-03,0.92,0.0381,219,-0.0211,-0.248,0.0051,0.133,0.0035,0.065,-0.0218,-0.233,-0.0268,-0.315,/p/problems-at-xp-inc-xp
KO,2023-09-21,0.491,0.0075,219,0.0158,0.937,-0.0071,-0.941,-0.0048,-0.448,-0.0334,-1.807,-0.0263,-1.558,/p/problems-at-coca-cola-ko
RUM,2023-10-05,1.543,0.0477,219,0.0353,0.331,-0.0102,-0.214,-0.0414,-0.614,-0.0409,-0.351,-0.0307,-0.289,/p/even-more-problems-at-rumble-rum
LFST,2023-10-19,1.565,0.0371,219,-0.0558,-0.672,-0.0747,-2.01,-0.0856,-1.63,0.0148,0.162,0.0894,1.077,/p/problems-at-lifestance-health-lfst
RBLX,2023-10-25,2.07,0.0403,219,0.1316,1.461,-0.017,-0.423,-0.0072,-0.126,-0.0048,-0.048,0.0122,0.136,/p/even-more-problems-at-roblox-rblx
PRGS,2023-11-02,0.723,0.0122,219,0.0108,0.394,-0.042,-3.434,-0.0206,-1.192,-0.0056,-0.185,0.0365,1.333,/p/problems-at-progress-software-prgs
AX,2023-11-16,1.901,0.024,219,0.0129,0.24,-0.0391,-1.629,0.0003,0.008,-0.0415,-0.706,-0.0024,-0.044,/p/problems-at-axos-financial-ax
FLYW,2023-12-07,1.718,0.0222,219,-0.0137,-0.276,-0.0264,-1.189,-0.062,-1.973,-0.0407,-0.747,-0.0143,-0.287,/p/problems-at-flywire-flyw
CHGG,2024-01-04,1.199,0.0476,219,0.0313,0.294,-0.0278,-0.583,-0.0164,-0.244,-0.0149,-0.128,0.0128,0.12,/p/problems-at-chegg-chgg
TECH,2024-01-18,0.962,0.018,219,-0.0184,-0.457,-0.0066,-0.368,-0.0104,-0.408,-0.0031,-0.071,0.0035,0.086,/p/problems-at-a-6-billion-recent-tech
RILY,2024-02-15,2.529,0.0469,219,0.0689,0.658,-0.0888,-1.894,-0.0908,-1.369,-0.2119,-1.846,-0.1231,-1.175,/p/more-problems-at-b-riley-rily
HSY,2024-03-30,0.393,0.0112,219,-0.0172,-0.691,0.0215,1.929,0.037,2.343,0.0111,0.406,-0.0104,-0.418,/p/more-problems-at-hershey-hsy
MQ,2024-04-04,1.62,0.0304,219,0.0347,0.51,-0.0042,-0.137,-0.0201,-0.467,-0.0373,-0.5,-0.0331,-0.487,/p/problems-at-marqeta-mq
PRI,2024-04-18,0.893,0.0109,219,-0.1143,-4.712,-0.0062,-0.567,0.0245,1.598,0.0235,0.885,0.0297,1.223,/p/problems-at-primerica-pri
AMC,2024-05-16,1.53,0.0693,219,0.8351,5.388,-0.1384,-1.997,-0.1807,-1.843,-0.0759,-0.447,0.0625,0.403,/p/problems-at-amc-entertainment-amc
GL,2024-06-06,-0.168,0.0405,219,0.0215,0.238,-0.0268,-0.662,-0.025,-0.437,-0.0388,-0.391,-0.012,-0.133,/p/problems-at-globe-life-gl
TASK,2024-08-01,1.28,0.0317,219,-0.0326,-0.46,0.0056,0.178,-0.0304,-0.679,-0.0082,-0.105,-0.0138,-0.195,/p/problems-at-taskus-task
FIVN,2024-09-05,1.0,0.0261,219,-0.0683,-1.169,-0.0026,-0.099,-0.0155,-0.42,-0.0642,-1.002,-0.0616,-1.053,/p/problems-at-five9-fivn
RBLX,2024-10-03,1.645,0.0278,219,-0.0869,-1.398,-0.0246,-0.886,-0.0438,-1.115,-0.0654,-0.96,-0.0408,-0.656,/p/problems-at-roblox-rblx-4
RBLX,2024-10-31,1.592,0.0273,219,0.0421,0.691,0.2302,8.441,0.2181,5.656,0.184,2.754,-0.0462,-0.758,/p/problems-at-roblox-rblx-5
VSAT,2024-11-06,1.79,0.0518,219,0.0532,0.46,-0.0631,-1.218,-0.1523,-2.081,-0.3243,-2.557,-0.2612,-2.257,/p/problems-at-viasat-vsat
TDG,2024-11-21,1.049,0.0105,219,-0.0416,-1.763,-0.0473,-4.487,-0.035,-2.349,-0.0561,-2.172,-0.0088,-0.372,/p/problems-at-transdigm-tdg
POET,2024-12-05,2.588,0.0787,219,-0.0352,-0.2,-0.0643,-0.817,-0.0089,-0.08,-0.1775,-0.92,-0.1132,-0.643,/p/problems-at-poet-technologies-poet
SEZL,2025-01-02,3.681,0.0987,219,-0.0489,-0.222,0.0621,0.63,0.0244,0.175,-0.1489,-0.616,-0.211,-0.957,/p/problems-at-sezzle-sezl
SIG,2025-01-16,1.167,0.0253,219,-0.2442,-4.314,-0.0366,-1.445,-0.0318,-0.889,0.0069,0.112,0.0435,0.769,/p/problems-at-signet-jewelers-sig
RILY,2025-01-17,0.966,0.0872,219,0.0692,0.355,0.037,0.424,-0.019,-0.154,-0.0393,-0.184,-0.0763,-0.391,/p/even-more-problems-at-b-riley-rily
APP,2025-02-20,2.607,0.0438,219,0.2358,2.41,-0.0856,-1.956,-0.1252,-2.023,-0.3352,-3.128,-0.2497,-2.552,/p/problems-at-applovin-app
FLYE,2025-08-13,1.864,0.0769,219,0.1473,0.857,-0.0081,-0.106,0.0233,0.214,-1.2892,-6.848,-1.2811,-7.454,/p/problems-at-fly-e-group-flye
GOGO,2025-08-21,1.409,0.0503,219,-0.0289,-0.257,-0.0908,-1.805,-0.0793,-1.115,-0.1533,-1.244,-0.0625,-0.555,/p/problems-at-gogo-gogo
QMMM,2025-08-27,0.176,0.1181,219,0.5217,1.976,-0.0198,-0.167,-0.2011,-1.204,0.369,1.276,0.3887,1.472,/p/problems-at-qmmm-holdings-qmmm
DKNG,2025-09-18,1.218,0.0252,219,-0.0814,-1.445,0.0095,0.377,0.0066,0.186,0.0037,0.06,-0.0058,-0.103,/p/problems-at-draftkings-dkng
DKNG,2025-10-02,1.199,0.0252,219,-0.2063,-3.66,-0.0095,-0.376,0.0039,0.109,-0.0032,-0.052,0.0063,0.111,/p/more-problems-at-draftkings-dkng
AS,2025-10-16,1.585,0.0287,219,-0.0687,-1.07,-0.036,-1.254,-0.0419,-1.032,-0.0458,-0.651,-0.0098,-0.152,/p/problems-at-better-collective-as
SRAD,2025-11-20,0.844,0.022,219,-0.0383,-0.78,-0.0158,-0.717,-0.0,-0.001,-0.0204,-0.379,-0.0046,-0.094,/p/problems-at-sportradar-group-srad
SERV,2025-12-18,2.759,0.0746,219,-0.1695,-1.016,0.0385,0.516,0.027,0.256,-0.0212,-0.116,-0.0597,-0.358,/p/problems-at-serve-robotics-serv
YELP,2026-02-19,0.827,0.0197,219,-0.0958,-2.177,-0.0062,-0.314,-0.0216,-0.774,0.0269,0.558,0.0331,0.751,/p/problems-at-yelp-yelp
SERV,2026-03-05,2.566,0.0568,219,-0.0317,-0.25,-0.0043,-0.076,0.0021,0.026,0.0439,0.316,0.0483,0.38,/p/more-problems-at-serve-robotics-serv
YELP,2026-04-02,0.875,0.0211,219,0.0588,1.244,0.001,0.048,0.0142,0.475,-0.0008,-0.016,-0.0019,-0.04,/p/more-problems-at-yelp-yelp
STEP,2026-07-02,1.671,0.0243,219,-0.0339,-0.623,0.0151,0.622,0.0704,2.045,0.0452,0.758,0.0301,0.553,/p/problems-at-stepstone-step
DKNG,2026-07-16,0.916,0.0288,219,-0.068,-1.056,-0.0083,-0.286,0.0079,0.193,-0.0617,-0.874,-0.0534,-0.829,/p/problems-at-draftkings-dkng-4
