domain,posts,resolved_rate,ticker_rate,distinct_authors,person_bylined,passes_screen
41investments.substack.com,20,0.0,0.25,0,False,False
9to5mac.com,100,1.0,0.0,13,True,False
abundanceandgrowth.org,20,1.0,0.25,6,True,True
adamtaggart.substack.com,20,0.0,0.05,0,False,False
aeon.co,20,0.55,0.0,11,True,False
allisonschrager.substack.com,20,0.0,0.0,0,False,False
alluvial.substack.com,20,1.0,0.0,1,True,False
alpha-sense.com,98,0.0,0.0,0,False,False
alphaarchitect.com,5,1.0,0.0,2,True,False
alphainacademia.com,20,0.0,0.1,0,False,False
apricitas.io,20,1.0,0.05,1,True,False
artofmanliness.com,10,1.0,0.0,4,True,False
asiancenturystocks.com,15,1.0,0.133,1,True,False
asiandividendstocks.substack.com,20,1.0,0.05,1,True,False
asianometry.com,20,1.0,0.0,1,True,False
asianometry.substack.com,20,1.0,0.0,1,True,False
asymco.com,10,0.4,0.0,1,False,False
awealthofcommonsense.com,10,1.0,0.0,1,True,False
basehitinvesting.substack.com,20,1.0,0.4,1,True,True
becomingnoble.substack.com,20,1.0,0.0,2,True,False
behaviouralinvestment.com,10,1.0,0.0,1,True,False
behindthebalancesheet.substack.com,20,0.95,0.0,1,True,False
benzinga.com,10,0.8,0.5,4,True,True
bestanchorstocks.substack.com,20,0.0,0.25,0,False,False
bestinterest.blog,10,1.0,0.0,1,True,False
bigtechnology.com,20,1.0,0.0,2,True,False
blairbellecurve.com,20,1.0,0.05,1,True,False
blockworks.co,50,0.8,0.0,8,True,False
bonddad.blogspot.com,25,1.0,0.0,1,True,False
calculatedrisk.substack.com,20,0.0,0.3,0,False,False
capitalspectator.com,10,1.0,0.6,1,True,True
chicago.suntimes.com,55,0.982,0.036,33,True,False
chinatalk.media,20,1.0,0.15,7,True,True
citriniresearch.com,20,0.05,0.25,1,False,False
cleantechnica.com,45,1.0,0.022,12,True,False
cloudedjudgement.substack.com,20,1.0,0.0,1,True,False
coldeye.earth,20,1.0,0.25,1,True,True
compoundandfire.substack.com,20,1.0,0.45,1,True,True
compoundingquality.net,20,0.1,0.3,1,False,False
construction-physics.com,20,1.0,0.1,1,True,False
constructionphysics.substack.com,20,1.0,0.1,1,True,False
covestreetcapital.com,10,0.9,0.0,1,True,False
crr.bc.edu,12,1.0,0.333,5,True,True
danieldrezner.substack.com,20,1.0,0.0,1,True,False
dannykatch.substack.com,20,0.0,0.0,0,False,False
deepquarry.substack.com,20,1.0,0.2,1,True,True
derekthompson.org,20,0.05,0.0,1,False,False
digitalnative.substack.com,20,1.0,0.25,1,True,True
direports.substack.com,20,0.6,0.0,1,True,False
dirtybubblemedia.com,20,0.0,0.4,0,False,False
doomberg.substack.com,20,0.0,0.25,0,False,False
econbrowser.com,10,0.9,0.0,1,True,False
economicweekly.substack.com,20,1.0,0.2,1,True,True
essentia-analytics.com,10,1.0,0.0,1,True,False
experimentalliving.substack.com,20,0.95,0.0,1,True,False
exponentialview.co,20,0.85,0.0,3,True,False
fabricatedknowledge.com,20,1.0,0.0,2,True,False
fastcompany.com,19,0.737,0.053,12,True,False
fasterplease.substack.com,20,1.0,0.0,1,True,False
finfluential.substack.com,18,0.5,0.0,1,True,False
flyoverstocks.substack.com,20,1.0,0.2,1,True,True
fritz.substack.com,2,0.0,0.0,0,False,False
futurism.com,81,1.0,0.0,4,True,False
gelliottmorris.com,20,0.0,0.05,0,False,False
grist.org,20,1.0,0.0,15,True,False
harveysawikin.substack.com,20,0.0,0.2,0,False,False
heavymoatinvestments.substack.com,20,0.0,0.25,0,False,False
hellomortal.substack.com,20,1.0,0.05,2,True,False
herbgreenberg.com,20,0.0,0.05,0,False,False
hollywoodreporter.com,10,1.0,0.0,10,True,False
honest-broker.com,20,1.0,0.0,2,True,False
huddleup.substack.com,20,1.0,0.0,1,True,False
humbledollar.com,15,0.867,0.067,11,True,False
hybrideconomics.substack.com,10,0.0,0.0,0,False,False
indianacapitalchronicle.com,100,1.0,0.0,26,True,False
investing101.substack.com,20,1.0,0.05,1,True,False
investmentnews.com,108,0.0,0.0,0,False,False
jasmi.news,20,0.0,0.0,0,False,False
jordangrumet.substack.com,20,0.0,0.0,0,False,False
kindnessfp.com,10,1.0,0.1,1,True,False
kitces.com,11,0.636,0.091,5,True,False
klementoninvesting.substack.com,20,1.0,0.05,1,True,False
kyla.substack.com,20,0.0,0.0,0,False,False
kylascanlon.substack.com,1,0.0,0.0,0,False,False
larryswedroe.substack.com,20,0.0,0.05,0,False,False
libertyrpf.com,20,0.0,0.15,0,False,False
macromornings.substack.com,20,1.0,0.0,1,True,False
maxfieldonbanks.com,20,1.0,0.0,1,True,False
microcapnewsletter.substack.com,20,1.0,0.5,1,True,True
moneychangeseverything.substack.com,20,0.45,0.05,1,False,False
moontower.substack.com,20,1.0,0.0,1,True,False
morethanmoore.substack.com,20,1.0,0.15,2,True,True
mrzepczynski.blogspot.com,25,1.0,0.0,1,True,False
netinterest.co,20,1.0,0.0,1,True,False
newsletter.doomberg.com,20,0.0,0.25,0,False,False
newsletter.platypuseconomics.com,20,1.0,0.0,2,True,False
newsletter.semianalysis.com,20,0.95,0.5,14,True,True
nextbigideaclub.com,15,1.0,0.0,15,True,False
noahpinion.substack.com,20,1.0,0.0,1,True,False
nongaap.com,20,0.0,0.0,0,False,False
notboring.co,20,1.0,0.1,1,True,False
novelinvestor.com,6,1.0,0.333,1,True,True
ofdollarsanddata.com,10,1.0,0.2,1,True,True
oldroperesearch.substack.com,20,0.0,0.3,0,False,False
oldster.substack.com,20,0.65,0.05,1,True,False
overlookedalpha.com,20,0.0,0.0,0,False,False
paulkrugman.substack.com,20,0.0,0.0,0,False,False
peterlazaroff.com,10,0.0,0.1,0,False,False
petition11.com,20,0.8,0.4,1,True,True
philbak.substack.com,20,0.0,0.05,0,False,False
pogueman.substack.com,20,1.0,0.0,1,True,False
rcmalternatives.com,9,1.0,0.0,2,True,False
read.technically.dev,20,0.7,0.15,9,True,True
readideabrunch.com,20,1.0,0.05,1,True,False
readthejointaccount.com,20,1.0,0.0,1,True,False
readtrung.com,20,0.0,0.3,0,False,False
retirementresearcher.com,10,0.1,0.0,1,False,False
rhinoinsight.substack.com,20,0.0,0.2,0,False,False
riabiz.com,20,1.0,0.0,3,True,False
ritholtz.com,10,0.0,0.0,0,False,False
seths.blog,10,1.0,0.0,1,True,False
sfstandard.com,10,1.0,0.0,9,True,False
sgcarney.substack.com,20,1.0,0.0,1,True,False
sixcolors.com,75,0.667,0.0,4,True,False
sportico.com,10,0.9,0.0,5,True,False
spyglass.org,15,1.0,0.0,1,True,False
stayathomemacro.substack.com,20,1.0,0.0,1,True,False
stratechery.com,10,1.0,0.0,1,True,False
tarotcapital.substack.com,20,0.0,0.7,0,False,False
taxalphainsider.com,15,1.0,0.0,1,True,False
the10thman.substack.com,20,0.0,0.75,0,False,False
theargumentmag.com,20,0.95,0.0,10,True,False
thebearcave.substack.com,20,0.95,0.9,2,True,True
thebulwark.com,20,1.0,0.0,11,True,False
thechipletter.substack.com,20,0.0,0.25,0,False,False
thediff.co,5,1.0,0.0,1,True,False
theretirementmanifesto.com,10,1.0,0.0,2,True,False
thetranscript.substack.com,20,0.0,0.0,0,False,False
thewolfofharcourtstreet.com,20,0.0,0.75,0,False,False
thezvi.substack.com,20,1.0,0.15,1,True,True
tim.signaturefd.com,20,0.0,0.0,0,False,False
tker.co,20,1.0,0.0,1,True,False
tmtbreakout.com,20,0.0,0.45,0,False,False
tomtunguz.com,10,0.0,0.0,0,False,False
tonyisola.com,10,1.0,0.0,1,True,False
trevoraleo.substack.com,20,0.0,0.0,0,False,False
variety.com,10,0.9,0.0,8,True,False
yetanothervalueblog.com,20,0.9,0.45,1,True,True
yetanothervalueblog.substack.com,20,0.9,0.45,1,True,True
youngmoney.co,20,1.0,0.1,1,True,False
yourbrainonmoney.substack.com,20,0.95,0.0,1,True,False
